transit_timestamp,borough,ridership
2022-02-01 00:00:00,BK,1796
2022-02-01 00:00:00,BX,712
2022-02-01 00:00:00,M,7407
2022-02-01 00:00:00,Q,1237
2022-02-01 01:00:00,BK,723
2022-02-01 01:00:00,BX,305
2022-02-01 01:00:00,M,2112
2022-02-01 01:00:00,Q,610
2022-02-01 02:00:00,BK,625
2022-02-01 02:00:00,BX,318
2022-02-01 02:00:00,M,1237
2022-02-01 02:00:00,Q,533
2022-02-01 03:00:00,BK,974
2022-02-01 03:00:00,BX,717
2022-02-01 03:00:00,M,906
2022-02-01 03:00:00,Q,886
2022-02-01 04:00:00,BK,3485
2022-02-01 04:00:00,BX,2773
2022-02-01 04:00:00,M,2221
2022-02-01 04:00:00,Q,3753
2022-02-01 05:00:00,BK,12620
2022-02-01 05:00:00,BX,10158
2022-02-01 05:00:00,M,8720
2022-02-01 05:00:00,Q,13877
2022-02-01 06:00:00,BK,26719
2022-02-01 06:00:00,BX,17766
2022-02-01 06:00:00,M,23618
2022-02-01 06:00:00,Q,26265
2022-02-01 07:00:00,BK,44973
2022-02-01 07:00:00,BX,23612
2022-02-01 07:00:00,M,46121
2022-02-01 07:00:00,Q,37294
2022-02-01 08:00:00,BK,48689
2022-02-01 08:00:00,BX,19573
2022-02-01 08:00:00,M,59968
2022-02-01 08:00:00,Q,36255
2022-02-01 09:00:00,BK,30859
2022-02-01 09:00:00,BX,11637
2022-02-01 09:00:00,M,41986
2022-02-01 09:00:00,Q,22378
2022-02-01 10:00:00,BK,21979
2022-02-01 10:00:00,BX,8940
2022-02-01 10:00:00,M,33226
2022-02-01 10:00:00,Q,16666
2022-02-01 11:00:00,BK,19553
2022-02-01 11:00:00,BX,7758
2022-02-01 11:00:00,M,34510
2022-02-01 11:00:00,Q,13537
2022-02-01 12:00:00,BK,20128
2022-02-01 12:00:00,BX,7745
2022-02-01 12:00:00,M,40478
2022-02-01 12:00:00,Q,13584
2022-02-01 13:00:00,BK,21843
2022-02-01 13:00:00,BX,9074
2022-02-01 13:00:00,M,45528
2022-02-01 13:00:00,Q,14864
2022-02-01 14:00:00,BK,23626
2022-02-01 14:00:00,BX,10383
2022-02-01 14:00:00,M,57894
2022-02-01 14:00:00,Q,16116
2022-02-01 15:00:00,BK,28824
2022-02-01 15:00:00,BX,11574
2022-02-01 15:00:00,M,82427
2022-02-01 15:00:00,Q,18814
2022-02-01 16:00:00,BK,33765
2022-02-01 16:00:00,BX,12190
2022-02-01 16:00:00,M,100795
2022-02-01 16:00:00,Q,20304
2022-02-01 17:00:00,BK,36212
2022-02-01 17:00:00,BX,11034
2022-02-01 17:00:00,M,116247
2022-02-01 17:00:00,Q,20357
2022-02-01 18:00:00,BK,25795
2022-02-01 18:00:00,BX,7015
2022-02-01 18:00:00,M,86791
2022-02-01 18:00:00,Q,14561
2022-02-01 19:00:00,BK,16362
2022-02-01 19:00:00,BX,4826
2022-02-01 19:00:00,M,51088
2022-02-01 19:00:00,Q,9388
2022-02-01 20:00:00,BK,11102
2022-02-01 20:00:00,BX,3683
2022-02-01 20:00:00,M,34738
